Year	Region	Farmer	FlowerStrip	Transect	PlantSp	Ploidy	Fieldsize	Flowers	zFlowers	plCROP1km	rounds	logrounds	Bumblebees	longt	shortt	Honeybees	Stripplants_m2
2010	E	7	Y	strip	phatan	2n	15	36.75	12.7777778	0.547969003	1	0	10	0	8	17	118
2010	E	8	N	interior	tripra	2n	10	17.5	-10.1125	0.64927217	1	0	1	0	1	0	NA
2010	E	8	N	edge	tripra	2n	10	17.75	-9.8625	0.64927217	1	0	0	0	0	1	NA
2010	E	14	Y	interior	tripra	2n	9.5	27.5	-0.1125	0.665430549	1	0	0	0	0	0	96
2010	E	14	Y	edge	tripra	2n	9.5	31.75	4.1375	0.665430549	1	0	2	0	2	0	96
2010	E	14	Y	strip	phatan	2n	9.5	23	-0.9722222	0.665430549	1	0	4	0	3	29	96
2010	E	17	Y	interior	tripra	4n	10	46.5	14.825	0.338289556	1	0	0	0	0	0	64.33
2010	E	17	Y	edge	tripra	4n	10	50.5	18.825	0.338289556	1	0	0	0	0	1	64.33
2010	E	17	Y	strip	phatan	4n	10	15.75	-3.7692308	0.338289556	1	0	14	1	11	1	64.33
2010	E	20	Y	interior	tripra	2n	5.6	27.75	0.1375	0.428695003	1	0	1	0	1	0	69.67
2010	E	20	Y	edge	tripra	2n	5.6	25	-2.6125	0.428695003	1	0	1	0	1	0	69.67
2010	E	20	Y	strip	phatan	2n	5.6	12.25	-11.7222222	0.428695003	1	0	2	0	2	3	69.67
2010	E	21	N	interior	tripra	2n	21	22	-5.6125	0.396690341	1	0	1	0	1	0	NA
2010	E	21	N	edge	tripra	2n	21	10.75	-16.8625	0.396690341	1	0	1	0	0	0	NA
2010	E	24	N	interior	tripra	2n	6.5	25.25	-2.3625	0.642380537	1	0	0	0	0	0	NA
2010	E	24	N	edge	tripra	2n	6.5	20	-7.6125	0.642380537	1	0	0	0	0	0	NA
2010	M	2	N	interior	tripra	4n	8.4	1.5	-30.175	0.703465323	1	0	0	0	0	0	NA
2010	M	2	N	edge	tripra	4n	8.4	2.25	-29.425	0.703465323	1	0	0	0	0	0	NA
2010	M	5	Y	interior	tripra	4n	6.1	54	22.325	0.646444414	1	0	11	1	10	0	124
2010	M	5	Y	edge	tripra	4n	6.1	51	19.325	0.646444414	1	0	4	0	4	0	124
2010	M	5	Y	strip	phatan	4n	6.1	17.75	-1.7692308	0.646444414	1	0	26	0	26	32	124
2010	M	25	Y	interior	tripra	4n	8	7.25	-24.425	0.435356242	1	0	0	0	0	0	102
2010	M	25	Y	edge	tripra	4n	8	1.25	-30.425	0.435356242	1	0	0	0	0	0	102
2010	M	25	Y	strip	phatan	4n	8	20.25	0.7307692	0.435356242	1	0	17	0	17	14	102
2010	M	9	Y	interior	tripra	4n	10	5.25	-26.425	0.422063022	1	0	1	0	1	0	128
2010	M	9	Y	edge	tripra	4n	10	7.25	-24.425	0.422063022	1	0	0	0	0	0	128
2010	M	9	Y	strip	phatan	4n	10	23.25	3.7307692	0.422063022	1	0	2	0	2	44	128
2010	M	11	Y	interior	tripra	4n	11	5	-26.675	0.358078389	1	0	3	2	0	0	76.5
2010	M	11	Y	edge	tripra	4n	11	4.25	-27.425	0.358078389	1	0	1	0	1	1	76.5
2010	M	11	Y	strip	phatan	4n	11	14.25	-5.2692308	0.358078389	1	0	15	0	14	52	76.5
2010	M	12	Y	interior	tripra	4n	5	7.75	-23.925	0.425450802	1	0	0	0	0	0	292.5
2010	M	12	Y	edge	tripra	4n	5	4.5	-27.175	0.425450802	1	0	0	0	0	0	292.5
2010	M	12	Y	strip	phatan	4n	5	39.5	19.9807692	0.425450802	1	0	10	0	10	32	292.5
2010	M	13	N	interior	tripra	2n	10.5	34	6.3875	0.648874034	1	0	6	0	5	3	NA
2010	M	13	N	edge	tripra	2n	10.5	18.5	-9.1125	0.648874034	1	0	5	3	2	2	NA
